Time [ms], Elem0, Elem1, Elem2, Elem3
7557, 0, 0.00371207, 0.00209622, -0.0404924
7557, 0, 0.00371207, 0.00209622, -0.0404924
7588, 0, 0.00494943, 0.00209622, -0.0404924
7619, 0, 0.00247472, 0.00104811, -0.0404924
7650, 0, 0.00123736, 0.00104811, -0.0404924
7650, -0.000497434, 0, 0.00104811, -0.0404924
7682, -0.000497434, 0, 0.00104811, -0.0404924
7713, -0.000497434, 0, 0.00104811, -0.0404924
7713, -0.000497434, 0, 0.00104811, -0.0404924
7713, -0.000497434, 0, -0.00104811, -0.0404924
7744, -0.000497434, 0, -0.00209622, -0.0404924
7744, 0, 0, -0.00209622, -0.0404924
7775, 0, -0.00123736, -0.00209622, -0.0404924
7775, 0, -0.00123736, -0.00209622, -0.0404924
7806, 0, -0.00123736, -0.00209622, -0.0404924
7806, 0, 0, -0.00314433, -0.0404924
7806, 0, -0.00123736, -0.00314433, -0.0404924
7838, 0, -0.00123736, -0.00314433, -0.0404924
7838, 0, -0.00123736, -0.00314433, -0.0404924
7838, 0, -0.00123736, -0.00314433, -0.0404924
7900, 0, -0.00123736, -0.00314433, -0.0404924
7900, 0, -0.00123736, -0.00314433, -0.0404924
7900, 0, -0.00123736, -0.00314433, -0.0404924
7900, 0, -0.00123736, -0.00314433, -0.0404924
7931, 0, 0, -0.00314433, -0.0404924
7931, 0, 0.00247472, -0.00209622, -0.0404924
7962, 0, 0.00371207, -0.00104811, -0.0404924
7962, 0, 0.00371207, -0.00104811, -0.0404924
8025, 0, 0.00371207, -0.00104811, -0.0404924
8025, 0, 0.00371207, -0.00104811, -0.0404924
8025, 0, 0.00371207, 0, -0.0404924
8056, 0, 0.00371207, 0.00104811, -0.0404924
8056, 0, 0.00371207, 0, -0.0404924
8087, 0, 0.00371207, -0.00209622, -0.0404924
8087, 0, 0.00371207, -0.00209622, -0.0404924
8118, 0, 0.00371207, -0.00209622, -0.0404924
8118, 0, 0.00371207, -0.00209622, -0.0404924
8118, 0, 0.00371207, -0.00104811, -0.0404924
8150, 0, 0.00247472, 0, -0.0404924
8150, 0, 0.00247472, 0.00104811, -0.0404924
8150, 0, 0.00247472, 0.00104811, -0.0404924
8212, 0, 0.00247472, 0.00104811, -0.0539899
8212, 0, 0.00247472, 0.00104811, -0.0539899
8212, 0, 0.00247472, 0.00104811, -0.0539899
8212, 0, 0.00247472, 0.00104811, -0.0539899
8243, 0, 0.00371207, 0.00104811, -0.0539899
8243, 0, 0.00371207, 0.00104811, -0.0539899
8274, 0, 0.00371207, 0.00104811, -0.0539899
8274, 0, 0.00371207, 0.00104811, -0.0539899
8306, 0, 0.00371207, 0.00104811, -0.0539899
8306, 0, 0.00247472, -0.00209622, -0.0539899
8306, 0, 0.00123736, -0.00314433, -0.0539899
8337, 0, 0.00123736, -0.00104811, -0.0539899
8337, 0, 0.00247472, 0.00104811, -0.0539899
8337, 0, 0.00247472, 0.00104811, -0.0539899
8399, 0, 0.00247472, 0.00104811, -0.0539899
8399, 0, 0.00247472, 0.00104811, -0.0539899
8399, 0, 0.00247472, 0.00104811, -0.0539899
8399, 0, 0.00371207, 0.00104811, -0.0539899
8431, 0, 0.00371207, 0.00104811, -0.0539899
8431, 0, 0.00371207, 0.00104811, -0.0539899
8462, 0, 0.00371207, 0.00104811, -0.0404924
8462, 0, 0.00371207, 0.00104811, -0.0404924
8524, 0, 0.00371207, 0.00104811, -0.0404924
8524, 0, 0.00371207, 0.00104811, -0.0404924
8524, 0, 0.00371207, 0.00104811, -0.0404924
8524, 0, 0.00494943, 0.00209622, -0.0404924
8555, 0, 0.00494943, 0.00104811, -0.0404924
8555, 0, 0.00494943, 0.00104811, -0.0404924
8587, 0, 0.00371207, -0.00104811, -0.0404924
8587, 0, 0.00371207, -0.00104811, -0.0404924
8618, 0, 0.00371207, -0.00104811, -0.0404924
8618, 0, 0.00494943, -0.00209622, -0.0404924
8618, 0, 0.00371207, -0.00209622, -0.0404924
8649, 0, 0.00371207, -0.00104811, -0.0404924
8649, 0, 0.00371207, -0.00104811, -0.0404924
8649, 0, 0.00371207, -0.00104811, -0.0404924
8711, 0, 0.00371207, -0.00104811, -0.0404924
8711, 0, 0.00371207, -0.00104811, -0.0404924
8711, 0, 0.00371207, -0.00104811, -0.0404924
8711, 0, 0.00371207, -0.00104811, -0.0404924
8743, 0, 0.00371207, -0.00104811, -0.0404924
8743, 0, 0.00371207, 0, -0.0404924
8774, 0, 0.00371207, 0, -0.0404924
8774, 0, 0.00371207, 0, -0.0404924
8805, 0, 0.00371207, 0, -0.0404924
8805, 0, 0.00247472, 0.00209622, -0.0404924
8805, 0, 0.00247472, 0.00104811, -0.0404924
8836, 0, 0.00123736, 0.00104811, -0.0404924
8836, 0, 0, -0.00104811, -0.0404924
8836, 0, 0, -0.00104811, -0.0404924
8899, 0, 0, -0.00104811, -0.0404924
8899, 0, 0, -0.00104811, -0.0404924
8899, 0, 0, -0.00104811, -0.0404924
8899, 0, 0, -0.00314433, -0.0404924
8930, 0, 0, -0.00419245, -0.0404924
8930, 0, 0, -0.00419245, -0.0404924
8961, -0.000497434, 0, -0.00314433, -0.0404924
8961, -0.000497434, 0, -0.00314433, -0.0404924
9023, -0.000497434, 0, -0.00314433, -0.0404924
9023, -0.000497434, 0, -0.00314433, -0.0404924
9023, -0.000497434, 0, -0.00314433, -0.0404924
9023, -0.000497434, 0.00123736, 0, -0.0404924
9055, 0, 0.00123736, 0.00209622, -0.0404924
9055, 0, 0.00123736, 0.00314433, -0.0404924
9086, 0, 0.00123736, 0, -0.0404924
9086, 0, 0.00123736, 0, -0.0404924
9117, 0, 0.00123736, 0, -0.0404924
9117, 0, 0.00247472, -0.00209622, -0.0404924
9117, 0, 0.00247472, -0.00209622, -0.0404924
9148, 0, 0.00247472, 0.00104811, -0.0404924
9148, 0, 0.00247472, 0.00314433, -0.0404924
9148, 0, 0.00247472, 0.00314433, -0.0404924
9211, 0, 0.00247472, 0.00314433, -0.0404924
9211, 0, 0.00247472, 0.00314433, -0.0404924
9211, 0, 0.00247472, 0.00314433, -0.0404924
9211, 0, 0.00247472, 0.00419245, -0.0404924
9242, 0, 0.00247472, 0, -0.0404924
9242, 0, 0.00247472, -0.00314433, -0.0404924
9273, 0, 0.00247472, -0.00419245, -0.0404924
9273, 0, 0.00247472, -0.00419245, -0.0404924
9304, 0, 0.00247472, -0.00419245, -0.0404924
9304, 0, 0.00247472, -0.00524056, -0.0404924
9304, 0, 0.00247472, -0.00314433, -0.0404924
9335, 0, 0.00247472, -0.00104811, -0.0404924
9335, 0, 0.00247472, 0.00104811, -0.0404924
9335, 0, 0.00247472, 0.00104811, -0.0404924
9398, 0, 0.00247472, 0.00104811, -0.0404924
9398, 0, 0.00247472, 0.00104811, -0.0404924
9398, 0, 0.00247472, 0.00104811, -0.0404924
9398, 0, 0.00247472, 0.00209622, -0.0404924
9429, 0, 0.00494943, 0.00419245, -0.0404924
9429, 0, 0.00618679, 0.00524056, -0.0404924
9460, 0, 0.00618679, 0.00524056, -0.0404924
9460, 0, 0.00618679, 0.00524056, -0.0404924
9523, 0, 0.00618679, 0.00524056, -0.0404924
9523, 0, 0.00618679, 0.00524056, -0.0404924
9523, 0, 0.00618679, 0.00524056, -0.0404924
9523, 0, 0.00371207, 0.00314433, -0.0404924
9554, 0, 0.00371207, 0.00314433, -0.0404924
9554, 0, 0.00371207, 0.00209622, -0.0404924
9585, 0, 0.00371207, 0.00209622, -0.0404924
9585, 0, 0.00371207, 0.00209622, -0.0404924
9616, 0, 0.00371207, 0.00209622, -0.0404924
9616, 0, 0.00371207, 0, -0.0404924
9616, 0, 0.00123736, -0.00104811, -0.0404924
9633, 0, 0, -0.00104811, -0.0404924
9633, 0, 0, -0.00209622, -0.0404924
9633, 0, 0, -0.00209622, -0.0404924
9679, 0, 0, -0.00209622, -0.0404924
9679, 0, 0, -0.00209622, -0.0404924
9720, 0, 0, -0.00209622, -0.0404924
9720, 0, 0.00123736, -0.00314433, -0.0404924
9720, 0, 0.00247472, -0.00419245, -0.0404924
9740, 0, 0.00123736, -0.00314433, -0.0404924
9740, 0, 0.00123736, -0.00209622, -0.0404924
9740, 0, 0.00123736, -0.00209622, -0.0404924
9801, 0, 0.00123736, -0.00209622, -0.0404924
9801, 0, 0.00123736, -0.00209622, -0.0404924
9821, 0, 0.00123736, -0.00209622, -0.0404924
9821, 0, 0.00123736, -0.00209622, -0.0404924
9841, 0, 0.00123736, -0.00209622, -0.0404924
9841, 0, 0.00123736, -0.00209622, -0.0404924
9861, 0, 0.00247472, -0.00419245, -0.0404924
9861, 0, 0.00247472, -0.00419245, -0.0404924
9921, 0, 0.00247472, -0.00419245, -0.0404924
